1|38|1|2022-01-07 17:13:09.006-05|2022-01-07 17:13:09.006-05
2|39|2|2022-01-08 14:25:21.885-05|2022-01-08 14:25:21.885-05
3|39|3|2022-01-08 14:25:21.885-05|2022-01-08 14:25:21.885-05
4|39|4|2022-01-08 14:25:21.885-05|2022-01-08 14:25:21.885-05
5|39|5|2022-01-08 14:25:21.885-05|2022-01-08 14:25:21.885-05
6|39|6|2022-01-08 14:25:21.885-05|2022-01-08 14:25:21.885-05
7|41|2|2022-01-08 18:10:36.621-05|2022-01-08 18:10:36.621-05
8|41|4|2022-01-08 18:10:36.621-05|2022-01-08 18:10:36.621-05
9|46|2|2022-03-22 09:21:04.772-04|2022-03-22 09:21:04.772-04
10|46|3|2022-03-22 09:21:04.772-04|2022-03-22 09:21:04.772-04
11|46|4|2022-03-22 09:21:04.772-04|2022-03-22 09:21:04.772-04
12|46|5|2022-03-22 09:21:04.772-04|2022-03-22 09:21:04.772-04
13|46|6|2022-03-22 09:21:04.772-04|2022-03-22 09:21:04.772-04
14|47|2|2022-03-22 10:10:40.874-04|2022-03-22 10:10:40.874-04
15|47|3|2022-03-22 10:10:40.874-04|2022-03-22 10:10:40.874-04
16|47|4|2022-03-22 10:10:40.874-04|2022-03-22 10:10:40.874-04
17|47|5|2022-03-22 10:10:40.875-04|2022-03-22 10:10:40.875-04
18|47|6|2022-03-22 10:10:40.875-04|2022-03-22 10:10:40.875-04
